cancer,pair,selectionSource,nJointlyAssayCoveredBeforeExclusion,nAssayDiscordantSpecimensInCancer,nJointlyAssayCoveredSpecimensExcluded,nJointlyAssayCoveredAfterExclusion,selectedConflictRecordsAllCancers,selectedConflictSpecimensAllCancers,sensitivityDefinition,excludeDiscordantNoBurden_full_or,excludeDiscordantNoBurden_full_ciLow,excludeDiscordantNoBurden_full_ciHigh,excludeDiscordantNoBurden_full_p,excludeDiscordantNoBurden_full_nStrata,excludeDiscordantNoBurden_full_nInformativeStrata,excludeDiscordantNoBurden_wes_or,excludeDiscordantNoBurden_wes_ciLow,excludeDiscordantNoBurden_wes_ciHigh,excludeDiscordantNoBurden_wes_p,excludeDiscordantNoBurden_wes_nStrata,excludeDiscordantNoBurden_wes_nInformativeStrata,excludeDiscordantNoBurden_panel_or,excludeDiscordantNoBurden_panel_ciLow,excludeDiscordantNoBurden_panel_ciHigh,excludeDiscordantNoBurden_panel_p,excludeDiscordantNoBurden_panel_nStrata,excludeDiscordantNoBurden_panel_nInformativeStrata,excludeDiscordantLeaveTwoOut_full_or,excludeDiscordantLeaveTwoOut_full_ciLow,excludeDiscordantLeaveTwoOut_full_ciHigh,excludeDiscordantLeaveTwoOut_full_p,excludeDiscordantLeaveTwoOut_full_nStrata,excludeDiscordantLeaveTwoOut_full_nInformativeStrata,excludeDiscordantLeaveTwoOut_wes_or,excludeDiscordantLeaveTwoOut_wes_ciLow,excludeDiscordantLeaveTwoOut_wes_ciHigh,excludeDiscordantLeaveTwoOut_wes_p,excludeDiscordantLeaveTwoOut_wes_nStrata,excludeDiscordantLeaveTwoOut_wes_nInformativeStrata,excludeDiscordantLeaveTwoOut_panel_or,excludeDiscordantLeaveTwoOut_panel_ciLow,excludeDiscordantLeaveTwoOut_panel_ciHigh,excludeDiscordantLeaveTwoOut_panel_p,excludeDiscordantLeaveTwoOut_panel_nStrata,excludeDiscordantLeaveTwoOut_panel_nInformativeStrata,noBurdenDirectionStableAfterDiscordantExclusion,noBurdenDiscordantExclusionLog2OrDifference,leaveTwoOutDirectionStableAfterDiscordantExclusion,leaveTwoOutDiscordantExclusionLog2OrDifference
GBM,EGFR-IDH1,Figure 8 displayed context,2381,1,1,2380,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.4431562522,0.2190139438,0.8966893181,0.01951231202,27,16,0.398179777,0.1429256059,1.109298323,0.0645730886,9,6,0.4939916146,0.1866556346,1.307368598,0.1482452821,18,10,0.3473017947,0.1665926962,0.7240325618,0.002939402168,91,37,0.2698952871,0.09633009012,0.7561860049,0.007602617528,27,16,0.4790352774,0.166774494,1.375958586,0.1561020701,64,21,True,0.01798301141,True,0.0122228671
GBM,IDH1-PTEN,Figure 8 displayed context; prespecified reference context,2381,1,1,2380,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.182271249,0.08289708405,0.4007717352,2.660367992e-06,27,18,0.1230964209,0.02987746661,0.5071624389,0.0006447264859,9,7,0.237804408,0.09210601361,0.6139765936,0.001252196916,18,11,0.1508768602,0.06664156778,0.3415860057,2.431985204e-07,91,36,0.08814024336,0.02193941373,0.354097999,1.400305991e-05,26,16,0.2454692793,0.08819737628,0.6831854828,0.004327372441,65,20,True,-0.1793693992,True,-0.1553832372
GBM,IDH1-TP53,Figure 8 displayed context,2381,1,1,2380,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,21.22607747,10.85844652,41.49270929,2.182503763e-36,27,18,27.27892883,11.65536621,63.84526621,3.002881409e-28,9,7,15.53074667,5.415985848,44.53558389,1.842007743e-11,18,11,15.3894477,7.832612579,30.23705031,6.515836395e-27,90,46,18.54368287,7.68832041,44.72604628,1.508989105e-19,26,21,11.97756434,4.222596424,33.97484225,2.286316388e-09,64,25,True,0.1599420491,True,0.1537422945
HCC,CTNNB1-TP53,Figure 8 displayed context,2985,0,0,2985,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.4724765837,0.3930114219,0.5680092479,7.635602644e-16,17,14,0.4894489584,0.4025831846,0.5950578466,4.317926053e-13,9,6,0.3598387177,0.2063083579,0.6276231565,0.0002839303273,8,8,0.4361116625,0.360985288,0.5268729462,3.406095284e-18,68,59,0.449019187,0.3674998488,0.5486212606,2.090232632e-15,32,30,0.3462794749,0.1943304768,0.6170389573,0.0003100492388,36,29,True,0,True,0
HNSC,CDKN2A-TP53,Figure 8 displayed context,1704,0,0,1704,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,7.455938123,4.805317147,11.56864606,5.900845926e-25,72,36,7.804200398,4.272353301,14.25573673,6.857259524e-15,17,10,7.019744576,3.706063497,13.29626812,1.226419852e-11,55,26,7.461324813,4.646479724,11.9814077,3.619751619e-22,159,67,7.666935335,4.105092884,14.31926124,8.812876422e-14,57,28,7.16124453,3.473873456,14.76260545,6.171954349e-10,102,39,True,0,True,0
LUAD,ATM-TP53,Figure 8 displayed context,10289,4,4,10285,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.5841992215,0.496822505,0.6869429765,4.355871363e-11,56,36,0.5324273974,0.4073926507,0.6958371316,2.655625833e-06,20,16,0.6165499392,0.5029862292,0.7557539461,2.507716994e-06,36,20,0.3680888555,0.3080657416,0.439806792,8.811884231e-30,209,126,0.3193197844,0.2366603965,0.4308499699,7.619304659e-15,84,52,0.3979906884,0.3189025861,0.4966927047,7.173121118e-17,125,74,True,-2.428861603e-05,True,0.0009232213991
LUAD,EGFR-KEAP1,Figure 8 displayed context,10126,4,4,10122,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.09773862501,0.07328970159,0.1303435355,8.69646395e-85,55,37,0.1477797544,0.0938552812,0.2326864884,3.790682255e-23,20,16,0.07873784129,0.05425057112,0.1142780163,2.112577299e-63,35,21,0.1574903007,0.1176228971,0.2108704633,3.337919347e-48,203,119,0.2149052638,0.1349926752,0.3421242845,8.750629881e-14,84,50,0.133469662,0.09166501199,0.1943396974,4.197102865e-36,119,69,True,0.001327637753,True,0.00256892824
LUAD,EGFR-KRAS,Figure 8 displayed context; prespecified reference context; prespecified principal context,10289,4,4,10285,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.02773064234,0.02105581662,0.03652142961,0,56,40,0.02967870071,0.01763046202,0.04996041935,2.812771424e-90,20,16,0.0269940085,0.01951754226,0.0373344392,5.712582269e-233,36,24,0.03742338818,0.02856300178,0.0490323109,5.142893462e-267,207,150,0.04474170334,0.02697917142,0.07419872117,1.992231811e-67,84,61,0.03490586245,0.0253550253,0.04805434894,1.155546922e-201,123,89,True,-0.0001100111461,True,8.007882553e-05
LUAD,EGFR-STK11,Figure 8 displayed context,10289,4,4,10285,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.06598777365,0.04797550506,0.09076269788,1.187924446e-110,56,39,0.08532561331,0.05066485989,0.1436984194,2.198904726e-35,20,16,0.05793572174,0.03876322506,0.08659103695,2.589136829e-77,36,23,0.09083598971,0.06570888345,0.1255717126,1.748003335e-78,206,126,0.1146668686,0.06711874013,0.1958989505,1.957173095e-24,84,50,0.08078797538,0.05382205198,0.1212643652,7.905980979e-56,122,76,True,-0.0005742526423,True,0.001374832629
LUAD,KEAP1-STK11,Figure 8 displayed context; prespecified reference context; prespecified principal context,10126,4,4,10122,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,10.84440478,9.393205492,12.51980648,0,55,40,6.091016469,4.672386449,7.940370951,1.731769139e-52,20,16,13.8771035,11.6672363,16.50553711,4.255987229e-271,35,24,7.905303612,6.824816788,9.156850233,1.006518816e-234,202,127,4.223114844,3.227269532,5.526250227,1.784780325e-32,84,50,10.38364062,8.685596843,12.41365383,9.415209172e-212,118,77,True,0.002025985673,True,0.002434794608
LUAD,KRAS-TP53,Figure 8 displayed context; prespecified reference context,10289,4,4,10285,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.5532842371,0.5044567813,0.6068378071,7.555973532e-37,56,41,0.7004421636,0.5922861946,0.828348236,2.809944876e-05,20,16,0.4995594098,0.4470805778,0.5581982674,2.86657574e-35,36,25,0.4035267461,0.3644487209,0.4467949138,5.822612186e-72,206,163,0.442715075,0.3659771442,0.5355433824,8.610488359e-18,84,70,0.3890932979,0.3448758029,0.4389800422,4.379396288e-56,122,93,True,-0.0004942466785,True,0.0001917505962
LUAD,STK11-TP53,Figure 8 displayed context; prespecified reference context,10289,4,4,10285,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.5360077357,0.4732549383,0.607081447,2.380980519e-23,56,41,0.6715644535,0.5360613267,0.84131944,0.0005076249494,20,16,0.4866701495,0.4189146602,0.5653844492,7.932307322e-22,36,25,0.3799578332,0.3317250296,0.4352036842,1.386711285e-46,206,138,0.4433882726,0.3456013438,0.5688437381,1.176205544e-10,84,58,0.3569387523,0.3034810815,0.4198128999,6.025146617e-38,122,80,True,-0.0001605213273,True,0.000728820544
LUSC,KEAP1-NFE2L2,prespecified reference context,2131,0,0,2131,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.2880806295,0.1614514991,0.5140271198,8.107312844e-06,28,17,0.3515685007,0.1680713422,0.7354044365,0.003853111207,11,6,0.2195227977,0.08579968088,0.5616601157,0.0005761831957,17,11,0.2650535463,0.1460596101,0.4809911676,3.378856075e-06,98,45,0.3236546226,0.152727046,0.6858792694,0.002273594481,38,20,0.1974538146,0.07329965412,0.5318989477,0.0003642680215,60,25,True,-4.440892099e-16,True,0
MDS,SF3B1-SRSF2,prespecified reference context,4276,0,0,4276,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.1482299543,0.1036354618,0.2120135228,5.972315541e-33,24,11,,,,0.5637028617,5,1,0.1484977181,0.1038213488,0.2123992082,7.053532683e-33,19,10,0.1601655881,0.1113069481,0.230470928,6.754390953e-29,64,31,,,,,10,0,0.1601655881,0.1113069481,0.230470928,6.754390953e-29,54,31,True,4.440892099e-16,True,0
MPN,CALR-JAK2,prespecified reference context; prespecified principal context,589,0,0,589,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.007134794567,0.001997848915,0.02548005164,6.004882276e-41,23,12,,,,2.352335162e-20,5,1,0.01088672113,0.00282126795,0.04200972719,4.334076397e-24,18,11,0.002859716775,0.0003639454944,0.02247034283,2.643214135e-40,58,28,,,,2.449748352e-20,13,4,0.004542422452,0.0005325499679,0.03874491217,5.008231296e-23,45,24,True,0,True,0
PAAD,CDKN2A-TP53,Figure 8 displayed context,5823,2,2,5821,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,3.742673391,3.054448936,4.585967683,1.976813735e-41,72,33,3.837550299,2.778848294,5.299602836,3.814559127e-18,27,15,3.683592279,2.836207655,4.784153251,5.465216941e-25,45,18,3.487900748,2.829944502,4.298830462,1.337298256e-34,211,88,3.183456447,2.27572204,4.453265721,1.978054628e-12,90,46,3.685221145,2.820764575,4.814600627,8.319135768e-24,121,42,True,-0.0008256724648,True,-0.0005198847504
PAAD,KRAS-TP53,Figure 8 displayed context; prespecified reference context,5823,2,2,5821,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,6.108663762,5.065341158,7.366882466,1.55570205e-97,72,37,6.420026448,4.864614092,8.472766556,1.058168371e-46,27,15,5.842642704,4.532719799,7.531123758,7.586431378e-53,45,22,4.854188735,3.991877728,5.902773052,2.976824917e-67,206,102,4.847971357,3.597990756,6.532208634,1.305793837e-29,88,50,4.859129781,3.750587679,6.295318026,1.749782891e-39,118,52,True,-0.003836132583,True,-0.004258774723
PRAD,APC-SPOP,Figure 8 displayed context,6585,3,0,6585,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,3.96132158,3.06750844,5.11557473,3.882053966e-29,52,25,3.567431388,2.071053684,6.14497191,1.274852762e-06,22,16,4.072430347,3.047263502,5.442485995,5.308006154e-24,30,9,4.111069563,3.158657612,5.350656839,4.338334864e-29,158,63,3.016840918,1.728936926,5.264118656,5.160914148e-05,89,35,4.501063068,3.332676379,6.079068724,6.359751722e-26,69,28,True,2.220446049e-16,True,0
PRAD,SPOP-TP53,Figure 8 displayed context,6585,3,0,6585,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.5095129939,0.4063645801,0.638843796,2.940573289e-09,52,33,0.5847188382,0.3709882693,0.9215820231,0.02024514698,22,19,0.4874909154,0.3756251546,0.6326716667,3.727032929e-08,30,14,0.4880586148,0.3882157125,0.6135795225,4.657089586e-10,156,94,0.4729041723,0.2980000724,0.7504641003,0.001293520029,88,55,0.4931256343,0.37888843,0.6418060619,9.472750708e-08,68,39,True,3.330669074e-16,True,0
SARC,NF1-TP53,sarcoma assay-metadata sensitivity context,9238,1143,1143,8095,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,2.015757249,1.524769965,2.664846096,5.90823848e-07,255,70,2.674336596,1.365866527,5.23629219,0.002366142423,56,19,1.899056472,1.396079818,2.583244481,3.919580995e-05,199,51,1.700922996,1.267723185,2.282153606,0.0003412296789,540,98,1.752741234,0.9019775034,3.405962813,0.07416991608,130,31,1.68839522,1.21642705,2.343484894,0.001804529207,410,67,True,-0.1995099731,True,-0.2128897369
SARC,RB1-TP53,sarcoma assay-metadata sensitivity context,9238,1143,1143,8095,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,2.812442748,2.298812733,3.440834522,1.104240168e-25,255,70,2.467530348,1.370764408,4.441832591,0.001396554153,56,18,2.861434083,2.308574648,3.546692768,1.836025754e-23,199,52,2.689006914,2.182401878,3.313211127,9.563675474e-22,540,119,2.519496841,1.303596022,4.869502689,0.003470901758,129,30,2.70905451,2.174024845,3.375755505,7.163548006e-20,411,89,True,0.04864374231,True,0.0638039185
SKCM,BRAF-NRAS,Figure 8 displayed context; prespecified reference context,3091,26,26,3065,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.09240501718,0.07216661282,0.1183190795,7.96402435e-108,55,45,0.1020611625,0.07391618182,0.1409228756,7.905900263e-59,25,24,0.08103098601,0.05516886224,0.1190167864,7.221421723e-51,30,21,0.08620186316,0.06655808971,0.1116432464,3.930901103e-118,203,133,0.08657416659,0.06143205365,0.1220061169,2.544386278e-66,103,73,0.08574591072,0.05787084632,0.1270477567,1.049523882e-53,100,60,True,-4.440892099e-16,True,0
UCEC,AKT1-PTEN,Figure 8 displayed context,5031,9,9,5022,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.1591917247,0.1163377117,0.217831388,3.186111689e-46,88,33,0.2830384381,0.1439539319,0.5565027396,1.776123837e-06,14,7,0.1348410749,0.09497691506,0.1914372084,1.273139907e-41,74,26,0.1071913815,0.07436604973,0.1545058842,1.737499134e-48,250,67,0.1465395189,0.06252761813,0.3434295315,3.06148124e-08,53,19,0.09928055719,0.06639867916,0.1484461613,6.617842908e-42,197,48,True,0,True,-4.440892099e-16
UCEC,CTNNB1-TP53,Figure 8 displayed context; prespecified reference context,5031,9,9,5022,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.3677459653,0.295260683,0.458026086,1.961566406e-20,88,41,0.382328128,0.2500964661,0.5844736623,5.878840463e-06,14,9,0.3627583357,0.2806718083,0.4688522547,6.274807255e-16,74,32,0.410319456,0.3292936546,0.511282418,3.169438578e-17,256,88,0.3782171678,0.2497656785,0.5727297156,8.389209434e-07,54,25,0.4236541762,0.3268338848,0.5491562207,6.239850036e-12,202,63,True,-0.01026727165,True,-0.01208066617
UCEC,PIK3CA-PIK3R1,Figure 8 displayed context; prespecified reference context,5031,9,9,5022,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.2022598094,0.1751533893,0.2335611697,1.331073669e-117,88,65,0.2972761177,0.2207975673,0.4002448544,2.160700743e-16,14,12,0.1804646107,0.1529853006,0.2128797707,1.498902199e-104,74,53,0.133385565,0.1126353013,0.1579585509,7.040405115e-146,251,149,0.1726204103,0.1204345508,0.2474190824,4.658911846e-24,54,37,0.1241753767,0.1024871775,0.1504532036,1.82137576e-124,197,112,True,0.004103617846,True,0.00387862962
UCEC,PTEN-TP53,Figure 8 displayed context; prespecified reference context,5031,9,9,5022,2508,1832,exclude every selected specimen with at least one mutation outside documented assay scope,0.3813155741,0.3229005638,0.4502982755,1.272457721e-31,88,59,0.2690556865,0.1915503211,0.3779213839,4.908967296e-16,14,10,0.427014949,0.3524457597,0.5173612156,8.693630324e-19,74,49,0.4110487769,0.3397108895,0.4973673266,6.235484149e-21,249,127,0.2674138903,0.1839415348,0.3887658587,7.296754714e-14,54,35,0.4820153806,0.3851675875,0.6032148983,1.117842299e-10,195,92,True,0.005445614027,True,-0.004470549385
