datasetId,context,scope,cancer,geneA,geneB,interval,lowerMonths,upperMonths,nAtRiskAtIntervalStart,nEventsInInterval,nBothAtRiskAtIntervalStart,nDoubleNegativeAtRiskAtIntervalStart,coefficient,standardError,hazardRatio,ciLow,ciHigh,p,contrast,model,baselineHazards,tiesMethod,fitStatus,fdr,fdrFamily
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,0–12 months,0,12,6925,1254,451,5586,1.162453232,0.08030531231,3.197768528,2.73206494,3.742855233,1.732607754e-47,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,2.772172407e-46,scope=cancer-specific; interval=0–12 months
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,12–36 months,12,36,4228,795,180,3555,0.5161527932,0.1559281815,1.675568973,1.234343406,2.274514023,0.000932307688,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.002486153835,scope=cancer-specific; interval=12–36 months
cancer-specific_LUAD_KEAP1_STK11_positive,KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,>36 months,36,,1238,239,42,1061,-0.9861143343,0.5864049348,0.3730233226,0.1181917602,1.177293569,0.09264120385,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.2316030096,scope=cancer-specific; interval=>36 months
cancer-specific_LUSC_KEAP1_STK11_positive,KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,0–12 months,0,12,1403,330,8,1223,0.6283333845,0.5834846166,1.874483931,0.597336036,5.882266922,0.2815411765,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.3465122172,scope=cancer-specific; interval=0–12 months
cancer-specific_LUSC_KEAP1_STK11_positive,KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,12–36 months,12,36,771,212,3,682,-15.00887239,1669.299778,3.03200241e-07,0,inf,0.9928262219,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9928262219,scope=cancer-specific; interval=12–36 months
cancer-specific_LUSC_KEAP1_STK11_positive,KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,>36 months,36,,243,73,2,215,,,,,,,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,non-varying genotype covariate,,
cancer-specific_PAAD_KRAS_TP53_positive,KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,0–12 months,0,12,3793,1160,2258,725,1.14346377,0.1203233495,3.137617549,2.478452412,3.972093164,2.034251599e-21,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,1.627401279e-20,scope=cancer-specific; interval=0–12 months
cancer-specific_PAAD_KRAS_TP53_positive,KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,12–36 months,12,36,1707,639,872,467,0.9755859649,0.1271520761,2.652721157,2.067566838,3.403483462,1.685553648e-14,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,1.348442918e-13,scope=cancer-specific; interval=12–36 months
cancer-specific_PAAD_KRAS_TP53_positive,KRAS–TP53 (PAAD),cancer-specific,PAAD,KRAS,TP53,>36 months,36,,315,83,111,140,1.14204472,0.3335235662,3.133168271,1.629626002,6.02392414,0.0006166576509,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.003083288255,scope=cancer-specific; interval=>36 months
cancer-specific_COADREAD_KRAS_TP53_positive,KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,0–12 months,0,12,5693,604,1409,932,0.06650749218,0.1328041482,1.068768971,0.8238359528,1.386522536,0.6165162593,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.6576173433,scope=cancer-specific; interval=0–12 months
cancer-specific_COADREAD_KRAS_TP53_positive,KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,12–36 months,12,36,3644,531,862,653,0.3832725851,0.1421224217,1.467077879,1.110397164,1.938331232,0.007001398135,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.01400279627,scope=cancer-specific; interval=12–36 months
cancer-specific_COADREAD_KRAS_TP53_positive,KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,>36 months,36,,874,170,170,228,-0.1259744697,0.2575224198,0.881637355,0.5322142539,1.46047277,0.6247152233,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9961988936,scope=cancer-specific; interval=>36 months
cancer-specific_UCEC_PTEN_PIK3CA_positive,PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,0–12 months,0,12,2526,228,828,641,-1.082475359,0.1929833841,0.3387559443,0.2320700898,0.4944867729,2.033068561e-08,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,5.421516162e-08,scope=cancer-specific; interval=0–12 months
cancer-specific_UCEC_PTEN_PIK3CA_positive,PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,12–36 months,12,36,1717,229,592,405,-0.7386061369,0.1891560822,0.4777794107,0.3297748119,0.6922092197,9.432505759e-05,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.0003773002304,scope=cancer-specific; interval=12–36 months
cancer-specific_UCEC_PTEN_PIK3CA_positive,PTEN–PIK3CA (UCEC),cancer-specific,UCEC,PTEN,PIK3CA,>36 months,36,,585,59,208,125,-1.621311576,0.4448230423,0.1976393101,0.08264931704,0.4726148782,0.0002675517551,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.002006638163,scope=cancer-specific; interval=>36 months
cancer-specific_GBM_IDH1_TP53_positive,IDH1–TP53 (GBM),cancer-specific,GBM,IDH1,TP53,0–12 months,0,12,2054,599,59,1486,-0.5266375501,0.3384867763,0.5905874556,0.3042031814,1.146580851,0.1197417281,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.191586765,scope=cancer-specific; interval=0–12 months
cancer-specific_GBM_IDH1_TP53_positive,IDH1–TP53 (GBM),cancer-specific,GBM,IDH1,TP53,12–36 months,12,36,1007,582,34,744,-1.108080847,0.3212433827,0.3301920425,0.1759234526,0.6197399116,0.000561937934,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.001798201389,scope=cancer-specific; interval=12–36 months
cancer-specific_GBM_IDH1_TP53_positive,IDH1–TP53 (GBM),cancer-specific,GBM,IDH1,TP53,>36 months,36,,169,99,10,117,-0.03317822117,0.4105672793,0.9673661391,0.4326287531,2.163049128,0.9355925142,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9961988936,scope=cancer-specific; interval=>36 months
cancer-specific_BRCA_PIK3CA_TP53_positive,PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,0–12 months,0,12,8826,750,937,3241,1.078422629,0.1186394778,2.94003836,2.330058851,3.709702677,9.911759044e-20,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,5.28627149e-19,scope=cancer-specific; interval=0–12 months
cancer-specific_BRCA_PIK3CA_TP53_positive,PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,12–36 months,12,36,6744,883,647,2612,0.8883466486,0.1046707875,2.431106853,1.980195694,2.984695174,2.119408942e-17,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,3.391054307e-16,scope=cancer-specific; interval=12–36 months
cancer-specific_BRCA_PIK3CA_TP53_positive,PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,>36 months,36,,3616,1144,306,1472,0.3916330784,0.1012080961,1.47939479,1.213208927,1.803983548,0.0001090218817,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.001635328226,scope=cancer-specific; interval=>36 months
cancer-specific_LUAD_EGFR_KRAS_positive,EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,0–12 months,0,12,6925,1254,36,2849,0.415140203,0.3050845494,1.514583075,0.8329226268,2.754111627,0.1735964356,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.2525039064,scope=cancer-specific; interval=0–12 months
cancer-specific_LUAD_EGFR_KRAS_positive,EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,12–36 months,12,36,4228,795,11,1720,-0.1261382666,0.7102179329,0.8814929573,0.2191191055,3.54615282,0.8590331858,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9500846124,scope=cancer-specific; interval=12–36 months
cancer-specific_LUAD_EGFR_KRAS_positive,EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,>36 months,36,,1238,239,3,554,-13.01911114,1756.334692,2.217542085e-06,0,inf,0.9940856075,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9961988936,scope=cancer-specific; interval=>36 months
cancer-specific_LUAD_KRAS_TP53_positive,KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,0–12 months,0,12,6925,1254,729,2449,0.6268626462,0.09695576247,1.871729082,1.547797331,2.263455095,1.009977146e-10,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,3.231926867e-10,scope=cancer-specific; interval=0–12 months
cancer-specific_LUAD_KRAS_TP53_positive,KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,12–36 months,12,36,4228,795,415,1661,0.3708104797,0.1356361157,1.44890845,1.11067571,1.890142799,0.006259619308,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.01400279627,scope=cancer-specific; interval=12–36 months
cancer-specific_LUAD_KRAS_TP53_positive,KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,>36 months,36,,1238,239,89,590,0.1693379429,0.2631438097,1.184520372,0.7072193215,1.983951043,0.5198876327,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9747893113,scope=cancer-specific; interval=>36 months
cancer-specific_LUAD_STK11_TP53_positive,STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,0–12 months,0,12,6925,1254,311,3191,0.9734450941,0.1109441633,2.647048099,2.129737068,3.290013469,1.721394066e-18,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,6.885576262e-18,scope=cancer-specific; interval=0–12 months
cancer-specific_LUAD_STK11_TP53_positive,STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,12–36 months,12,36,4228,795,146,2112,0.7512336055,0.1751975373,2.119613171,1.50358573,2.988030482,1.803513269e-05,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,9.618737436e-05,scope=cancer-specific; interval=12–36 months
cancer-specific_LUAD_STK11_TP53_positive,STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,>36 months,36,,1238,239,33,697,-0.1084519115,0.4659238974,0.8972220399,0.3600019,2.236119834,0.8159419999,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9961988936,scope=cancer-specific; interval=>36 months
cancer-specific_COADREAD_BRAF_KRAS_positive,BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,0–12 months,0,12,5693,604,57,2803,0.113552752,0.414316929,1.120250983,0.4973339698,2.52337934,0.7840291378,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.7840291378,scope=cancer-specific; interval=0–12 months
cancer-specific_COADREAD_BRAF_KRAS_positive,BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,12–36 months,12,36,3644,531,38,1848,0.5007142475,0.3621070442,1.649899286,0.8113931928,3.354930359,0.1667324443,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.242519919,scope=cancer-specific; interval=12–36 months
cancer-specific_COADREAD_BRAF_KRAS_positive,BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,>36 months,36,,874,170,9,452,-15.25301126,1744.951786,2.375206524e-07,0,inf,0.9930256026,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9961988936,scope=cancer-specific; interval=>36 months
cancer-specific_SKCM_BRAF_NRAS_positive,BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,0–12 months,0,12,2432,432,69,813,0.3833105974,0.231466847,1.467133647,0.9320618664,2.309375822,0.09772050749,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.1737253466,scope=cancer-specific; interval=0–12 months
cancer-specific_SKCM_BRAF_NRAS_positive,BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,12–36 months,12,36,1657,316,42,537,0.07087524662,0.3356952209,1.073447301,0.555950901,2.072645456,0.8327860296,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9500846124,scope=cancer-specific; interval=12–36 months
cancer-specific_SKCM_BRAF_NRAS_positive,BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,>36 months,36,,614,184,19,185,0.1097800082,0.4410173066,1.116032525,0.4701995832,2.648935989,0.803419191,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9961988936,scope=cancer-specific; interval=>36 months
cancer-specific_UCEC_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,0–12 months,0,12,2526,228,198,730,-1.226975058,0.3930741872,0.2931780844,0.1356894706,0.6334565887,0.001799416033,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.004112950933,scope=cancer-specific; interval=0–12 months
cancer-specific_UCEC_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,12–36 months,12,36,1717,229,141,475,-0.5476524478,0.3272160889,0.5783058212,0.3045304499,1.098207496,0.0941950544,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.150712087,scope=cancer-specific; interval=12–36 months
cancer-specific_UCEC_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,>36 months,36,,585,59,54,154,-1.00426882,0.7619859763,0.3663123772,0.08227122317,1.631004774,0.1875162554,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.4018205472,scope=cancer-specific; interval=>36 months
cancer-specific_UCEC_PTEN_TP53_positive,PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,0–12 months,0,12,2526,228,282,370,0.6279082055,0.279376917,1.873687109,1.083654917,3.239687586,0.02460612912,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.04921225823,scope=cancer-specific; interval=0–12 months
cancer-specific_UCEC_PTEN_TP53_positive,PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,12–36 months,12,36,1717,229,194,253,-0.03525601833,0.2565696695,0.9653582352,0.5838429054,1.596176838,0.8907043242,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9500846124,scope=cancer-specific; interval=12–36 months
cancer-specific_UCEC_PTEN_TP53_positive,PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,>36 months,36,,585,59,66,83,-2.187339734,1.062272654,0.1122148733,0.01399079204,0.9000332328,0.03948338743,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.1480627029,scope=cancer-specific; interval=>36 months
cancer-specific_UCEC_CTNNB1_TP53_positive,CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,0–12 months,0,12,2526,228,70,1068,0.5866870939,0.4707719364,1.79802186,0.7146167127,4.52393927,0.2126823198,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.2835764264,scope=cancer-specific; interval=0–12 months
cancer-specific_UCEC_CTNNB1_TP53_positive,CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,12–36 months,12,36,1717,229,51,772,-0.1544804216,0.5142417894,0.8568602679,0.3127422819,2.347650322,0.7638688185,A+B versus A−/B−,conditional interval-specific four-group Cox model,study,Efron,estimated,0.9500846124,scope=cancer-specific; interval=12–36 months
